reviewId,productAsin,profileName,profileId,profilePhoto,rating,verifiedPurchase,vineReview,reviewTitle,reviewedIn,reviewDate,reviewText,language,country,images,videos,variantSpecs,variantAsin,helpfulVoteCount,reviewUrl,reviewsAISummary,aspects,productTitle,productUrl,sellerName,sellerProfileUrl,averageRating,totalRatings,ratingSummary,scrapedAt,Marca_Analizada
R3QVN3964FJIAY,B06ZZ4679J,,,,5,True,False,Funciona bien,Revisado en México el 8 de enero de 2026,2026-01-08,"Siempre compro esta marca con sus diferentes versiones de arena, todas me gustan porque aglutinan super bien y no huele",en,MX,[],[],['Tamaño: 37lb – Frustration Free Pack'],B0BNP527D2,0,https://www.amazon.com.mx/review/R3QVN3964FJIAY,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B0BNP527D2,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
R2B9CIFCF0R8AN,B06ZZ4679J,,,,5,True,False,Excelente arena para gatos,Revisado en México el 24 de diciembre de 2025,2025-12-24,"Excelente arena para gatos, dura bastante y cubre bien el olor. Es algo cara, pero esta a mejor precio que la que es morada de esta misma marca; cuyo precio es más caro y hacen la misma función. A recomiendo ampliamente.",en,MX,[],[],['Tamaño: 37lb – Frustration Free Pack'],B0BNP527D2,0,https://www.amazon.com.mx/review/R2B9CIFCF0R8AN,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B0BNP527D2,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
R13AISV7K2UW90,B06ZZ4679J,,,,5,True,False,Buen calidad pero alta de precio.,Revisado en México el 14 de mayo de 2025,2025-05-14,Buen calidad pero alta de precio.,en,MX,['https://m.media-amazon.com/images/I/81TM3wchlvL._SY88.jpg'],[],['Tamaño: 27.5 lb'],B06ZZ4679J,0,https://www.amazon.com.mx/review/R13AISV7K2UW90,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B06ZZ4679J,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
R30UCFG4QUQXBM,B06ZZ4679J,,,,5,True,False,"Buena absorvencia, sin polvo.",Revisado en México el 17 de octubre de 2023,2023-10-17,"Tiene un olor fuerte a desinfectante de baños sobre todo cuando los gatos rascan,  por lo menos no huele a pipí y popo de gato. Muy buena absorción de orina, hace terrones que no se desbaratan al limpiar la caja de arena. Tengo siete gatos limpio los areneros  2 veces al día y la caja de arena rindió 21 días.",en,MX,[],[],,,0,https://www.amazon.com.mx/review/R30UCFG4QUQXBM,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B06ZZ4679J,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
R3OUP9GRZ20PHX,B06ZZ4679J,,,,5,True,False,Excelente,Revisado en México el 18 de septiembre de 2023,2023-09-18,"La mejor arena relación calidad/precio que hemos probado para nuestros dos gatos. Aglutina muy bien y controla olores por un buen tiempo. Además, no contiene arenas muy finas las cuales solo salen volando y se esparcen por todos lados.",en,MX,[],[],['Tamaño: 37lb – Frustration Free Pack'],B0BNP527D2,0,https://www.amazon.com.mx/review/R3OUP9GRZ20PHX,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B0BNP527D2,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
RIJYB3XPH60B3,B06ZZ4679J,,,,5,True,False,Bueno,Revisado en México el 27 de enero de 2023,2023-01-27,Buen producto,en,MX,[],[],,,0,https://www.amazon.com.mx/review/RIJYB3XPH60B3,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B06ZZ4679J,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
R2QZQW7OV70P0V,B06ZZ4679J,,,,5,True,False,De las mejores que he usado,Revisado en México el 30 de diciembre de 2021,2021-12-30,"La comparo vs el fresh step ya que esa era la marca que antes usaba. La arena es más fina así que suelta un poco más de polvo pero encuentro que los líquidos los absorbe mucho mejor que el fresh, las hace piedrita en menos tiempo y es mucho más fácil limpiar el arenero. El fresh tiene mejor aroma pero creo la conveniencia en la limpieza lo vale",en,MX,[],[],['Tamaño: 27.5 lb'],B06ZZ4679J,0,https://www.amazon.com.mx/review/R2QZQW7OV70P0V,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B06ZZ4679J,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
R3SFBI7CRA9LYY,B06ZZ4679J,,,,5,True,False,Buen producto,Revisado en México el 7 de diciembre de 2021,2021-12-07,Mi gata feliz de usar este producto,en,MX,['https://m.media-amazon.com/images/I/61GKwVZBsBL._SY88.jpg'],[],['Tamaño: 27.5 lb'],B06ZZ4679J,12,https://www.amazon.com.mx/review/R3SFBI7CRA9LYY,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B06ZZ4679J,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
R3KH3P1521ALCV,B06ZZ4679J,,,,5,True,False,Muy buena,Revisado en México el 3 de diciembre de 2021,2021-12-03,Muy fácil para limpiar,en,MX,[],[],,,0,https://www.amazon.com.mx/review/R3KH3P1521ALCV,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B06ZZ4679J,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
R1WKYQENAKJCNQ,B06ZZ4679J,,,,5,True,False,No conserva olores¡¡¡¡¡,Revisado en México el 27 de noviembre de 2021,2021-11-27,"Buen producto no conserva los olores , fácil de limpiar en precio un poco elevado, el mes pasado estaba en 680 y lo subieron 100 pesos.  Pero aun así lo compre, espero no lo suban a cada rato ya qué no es una compra de una sola vez al año.",en,MX,[],[],,,0,https://www.amazon.com.mx/review/R1WKYQENAKJCNQ,"Los clientes están satisfechos con la calidad de esta arena para gatos. La describen como un excelente producto, agradable y con un aroma fuerte. Sin embargo, tienen opiniones diversas sobre la absorción de olores.","[{'aspectName': 'Calidad', 'aspectSentiment': 'positive', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes opinan positivamente sobre la calidad del producto. Mencionan que es agradable, con un aroma fuerte y una de las mejores arenas para gatos que han comprado. Además, afirman que cumple con lo anunciado y granula bien las heces.'}, {'aspectName': 'Absorción de olores', 'aspectSentiment': 'mixed', 'aspectMention': None, 'aspectMentionPositive': None, 'aspectMentionNegative': None, 'aspectSummary': 'Los clientes tienen opiniones divididas sobre la absorción de olores del producto. Algunos mencionan que no expide olores, mientras que otros indican que tiene un olor fuerte a desinfectante de baños, especialmente cuando los gatos rascan.'}]",Arm &amp; Hammer Arena para Gato,https://www.amazon.com.mx/dp/B06ZZ4679J,Visita la tienda de Arm &amp; Hammer,https://www.amazon.com.mx/stores/ArmHammer/page/1A79543F-BE0B-48C2-87BF-123CDF7A2A1D?lp_asin=B06ZZ4679J&amp;ref_=ast_bln,4.6,45496,"{'five_stars': 78, 'four_stars': 12, 'three_stars': 6, 'two_stars': 1, 'one_star': 3}",2026-02-03 00:26:32.901000+00:00,Arm_Hammer
